name,id,lat,lon
Altstadt-Ost,90101,48.207,16.374
Stubenviertel,90102,48.207,16.381
Opernviertel,90103,48.201,16.369
Regierungsviertel,90104,48.207,16.361
Börseviertel,90105,48.215,16.369
Altstadt-West,90106,48.212,16.366
Altstadt-Mitte,90107,48.209,16.370
Nordbahnhof,90201,48.226,16.395
Am Tabor,90202,48.223,16.386
Augartenviertel,90203,48.222,16.374
Taborstraße,90204,48.216,16.381
Praterstraße,90205,48.215,16.388
Oberer Prater,90206,48.208,16.406
Ausstellungsstraße,90207,48.220,16.401
Unterer Prater,90208,48.193,16.437
Praterlände,90209,48.221,16.408
Weißgerber,90301,48.208,16.390
Landstraße,90302,48.204,16.390
Belvedere-Diplomatenviertel,90303,48.196,16.382
Fasangasse,90304,48.190,16.388
Rudolfspital-Rennwegkaserne,90305,48.194,16.393
Erdberg,90306,48.185,16.419
Erdberger Mais-St.Marx,90307,48.189,16.402
Arsenal,90308,48.183,16.392
Ungargasse,90309,48.199,16.391
Altes Gaswerk,90310,48.200,16.401
Wildganshof,90311,48.196,16.400
Technische Hochschule,90401,48.199,16.369
Argentinierstraße,90402,48.193,16.375
Wiedner Hauptstraße,90403,48.193,16.366
Schaumburgergrund,90404,48.188,16.370
Margaretenplatz,90501,48.193,16.359
Matzleinsdorf,90502,48.183,16.360
Siebenbrunnenplatz,90503,48.186,16.354
Am Hundsturm,90504,48.189,16.352
Laimgrube,90601,48.199,16.358
Mollardgasse,90602,48.192,16.351
Stumpergasse,90603,48.194,16.345
St.Ulrich,90701,48.204,16.353
Stiftskaserne,90702,48.201,16.355
Apollogasse,90703,48.199,16.347
Schottenfeld,90704,48.202,16.343
Neustiftgasse,90705,48.206,16.343
Laudongasse,90801,48.213,16.350
Josefstädter Straße,90802,48.210,16.350
Bennoplatz,90803,48.212,16.342
Lichtental-Spittelau,90901,48.229,16.358
Roßau,90902,48.223,16.364
Allgemeines Krankenhaus,90903,48.218,16.348
Nußdorferstraße-Volksoper,90904,48.227,16.352
Liechtensteinstraße,90905,48.217,16.362
Universitätsviertel,90906,48.217,16.355
Südbahnhof,91001,48.182,16.382
Gellertplatz,91002,48.175,16.385
Hebbelplatz,91003,48.168,16.376
Quellenplatz,91004,48.175,16.375
Arthaberplatz,91005,48.175,16.370
Erlachplatz,91006,48.178,16.367
Belgradplatz,91007,48.174,16.362
Triester Straße,91008,48.173,16.355
Franz Josef-Spital,91009,48.175,16.351
Neerwindenplatz-Raxstraße,91010,48.168,16.365
Heuberggstätten,91011,48.158,16.375
9100112,91012,48.167,16.373
Siedlung Wienerfeld,91013,48.159,16.354
Per Albin Hansson-NW,91014,48.129,16.406
Laaer Berg,91015,48.147,16.390
Goldberg,91016,48.146,16.398
Unterlaa,91017,48.138,16.419
Oberlaa,91018,48.129,16.423
Rothneusiedl,91019,48.136,16.380
Per Albin Hansson-Ost,91020,48.156,16.370
Wienerberger Ziegelfabrik,91021,48.166,16.342
Humboldtplatz,91022,48.179,16.378
Eisenstadtplatz,91023,48.167,16.383
Gaswerk Simmering,91101,48.183,16.422
Alt-Simmering,91102,48.178,16.419
Enkplatz,91103,48.173,16.414
Geiselberg,91104,48.175,16.401
Hasenleiten,91105,48.163,16.418
Zentralfriedhof,91106,48.146,16.443
Obere Simmeringer Haide,91107,48.174,16.441
E-Werk Simmering,91108,48.180,16.435
Untere Simmeringer Haide,91109,48.170,16.469
Leberberg,91110,48.151,16.460
Kaiser-Ebersdorf,91111,48.155,16.459
Albern,91112,48.161,16.485
Simmeringer Bad,91113,48.165,16.428
Gaudenzdorf,91201,48.186,16.339
Fuchsenfeld,91202,48.181,16.344
Meidlinger Friedhof,91203,48.173,16.338
Wilhelmsdorf,91204,48.180,16.337
Meidlinger Hauptstraße,91205,48.179,16.330
Tivoligasse,91206,48.182,16.323
Gatterhölzl,91207,48.176,16.320
Oswaldgasse,91208,48.171,16.328
Am Schöpfwerk,91209,48.160,16.330
Altmannsdorf,91210,48.164,16.317
Hetzendorf,91211,48.167,16.304
Schönbrunn,91301,48.180,16.307
Hietzing,91302,48.172,16.283
Auhofstraße,91303,48.191,16.277
Ober St.Veit,91304,48.188,16.268
GemeindebergJagdschloßg,91305,48.178,16.272
Lainz,91306,48.175,16.276
Maxing,91307,48.184,16.289
Speising,91308,48.167,16.289
Altersheim Lainz,91309,48.171,16.268
Lainzer Tiergarten,91310,48.183,16.229
Friedensstadt,91311,48.162,16.268
Breitensee,91401,48.202,16.295
An der Windmühle,91402,48.196,16.311
Penzing,91403,48.191,16.301
Unter-Baumgarten,91404,48.195,16.282
Am Ameisbach,91405,48.201,16.302
Ober-Baumgarten,91406,48.200,16.272
Hugo Breitner-Hof,91407,48.198,16.293
Baumg.Friedh.-Flötzerstg,91408,48.202,16.276
Am Steinhof,91409,48.210,16.279
Hütteldorf,91410,48.210,16.262
Wolfersberg,91411,48.214,16.246
Hadersdorf-Weidlingau,91412,48.231,16.219
Stadthalle,91501,48.203,16.330
Reithofferplatz,91502,48.199,16.332
Fünfhaus-Westbahnhof,91503,48.191,16.334
Sechshaus,91504,48.186,16.331
Rudolfsheim-Braunhirschen,91505,48.188,16.324
Rauscherplatz,91506,48.196,16.324
Schmelz,91507,48.203,16.317
Neulerchenfeld,91601,48.211,16.333
Ludo-Hartmann-Platz,91602,48.205,16.334
Herbststr.-Vorortelinie,91603,48.217,16.316
Alt-Ottakring,91604,48.214,16.314
Wilhelminenstraße,91605,48.209,16.308
Sandleiten,91606,48.217,16.307
Joachimsthaler-Platz,91607,48.210,16.314
Wilhelminenspital,91608,48.210,16.297
Wilhelminenberg,91609,48.217,16.292
Richard Wagner-Platz,91610,48.209,16.325
Dornerplatz,91701,48.222,16.331
Alt-Hernals,91702,48.216,16.330
Äuß. Hernalser Hauptstr.,91703,48.224,16.313
Alszeile,91704,48.232,16.301
Dornbach,91705,48.228,16.285
Neuwaldegg,91706,48.241,16.276
Währinger Cottage,91801,48.232,16.336
Gentzgasse,91802,48.227,16.345
Kreutzgasse,91803,48.222,16.342
Gersthof,91804,48.236,16.312
Pötzleinsdorf,91805,48.241,16.303
Nußdorf-Kahlenbergerdorf,91901,48.270,16.348
Karl Marx-Hof,91902,48.247,16.359
Heiligenstädter Lände,91903,48.247,16.365
Döblinger Hauptstraße,91904,48.240,16.354
Hohe Warte,91905,48.250,16.350
Grinzing,91906,48.268,16.321
Sievering,91907,48.261,16.309
In der Krim,91908,48.244,16.338
Döblinger Cottage,91909,48.236,16.343
Glanzing-Salmannsdorf,91910,48.244,16.316
Kapaunplatz,92001,48.247,16.377
Zwischenbrücken,92002,48.236,16.388
Brigittaplatz,92003,48.232,16.373
Lorenz Müller-Gasse,92004,48.243,16.371
Wallensteinstraße,92005,48.230,16.368
Wexstraße,92006,48.237,16.371
Höchstädtplatz,92007,48.240,16.378
Nordwestbahnhof,92008,48.232,16.381
Stammersdorf,92101,48.304,16.419
Stammersdorf-Brünnerstr.,92102,48.293,16.416
Hirschfeld,92103,48.287,16.410
Nordrandsiedlung,92104,48.282,16.450
Großfeldsiedlung,92105,48.266,16.445
Leopoldau,92106,48.272,16.446
Leopoldau.Str.-Siemensstr,92107,48.279,16.418
Gaswerk Leopoldau,92108,48.280,16.432
Schotterfeld,92109,48.291,16.433
Siedlung Siemensstraße,92110,48.275,16.415
Groß-Jedlersdorf,92111,48.278,16.409
Jochbergen,92112,48.280,16.404
Strebersdorf,92113,48.293,16.385
Strebersdorf-Prager Straße,92114,48.274,16.388
Autokader,92115,48.285,16.376
Schwarzlackenau,92116,48.276,16.375
Neu-Jedlesee,92117,48.266,16.383
Alt-Jedlesee,92118,48.272,16.381
Koloniestraße,92119,48.270,16.396
Shuttleworthstraße,92120,48.272,16.410
Floridsdorf-Brünnerstraße,92121,48.280,16.416
Floridsdorf-am Spitz,92122,48.259,16.397
Donaufeld,92123,48.258,16.433
Donaufeld-Leopoldauer Str,92124,48.259,16.421
Donaufelder Gärtnergeb.,92125,48.264,16.444
Mühlschüttel,92126,48.249,16.403
Bruckhaufen,92127,48.244,16.403
Industriegel.-Bahndreieck,92128,48.272,16.394
9210129,92129,48.311,16.406
9210130,92130,48.281,16.391
Süßenbrunn,92201,48.282,16.496
Breitenlee,92202,48.251,16.511
Neu-Eßling,92203,48.250,16.534
Schafflerhof,92204,48.228,16.528
Flugfeld Aspern,92205,48.210,16.504
Kriegerhmst.-Lackenjöchl,92206,48.236,16.498
Breitenleer Stadtrandsdlg,92207,48.216,16.495
Kagran,92208,48.261,16.458
Eipeldauer Straße,92209,48.259,16.443
An der oberen Alten Donau,92210,48.242,16.426
Kaisermühlen,92211,48.228,16.425
Lettenhaufen,92212,48.239,16.436
Zentrum Kagran,92213,48.244,16.441
Freihof-Siedlung,92214,48.252,16.453
Wohngebiet Neu-Kagran,92215,48.237,16.444
Industriegeb.Neu-Kagran,92216,48.265,16.467
Neuhaufen,92217,48.221,16.446
Mühlgrund-Neu-Stadlau,92218,48.218,16.453
Stadlau,92219,48.213,16.447
Hirschstetten,92220,48.258,16.483
Plankenmais,92221,48.252,16.452
Neu-Straßenäcker,92222,48.207,16.489
Aspern,92223,48.226,16.492
Spargelfeld,92224,48.244,16.476
Wulzendorf,92225,48.219,16.462
Biberhaufen,92226,48.205,16.476
Eßling-Im Neuriß,92227,48.229,16.520
Eßling,92228,48.227,16.532
Englisch Feld,92229,48.209,16.537
9220130,92230,48.170,16.524
Indgeb.Erzherzog Karl-Str,92231,48.228,16.470
Donaupark,92232,48.238,16.412
Inzersdorf,92301,48.141,16.349
Neu-Erlaa-Neustift,92302,48.140,16.328
Schwarze Haide,92303,48.140,16.289
In der Wiesen,92304,48.144,16.316
Siebenhirten,92305,48.129,16.310
Industriezentrum Liesing,92306,48.133,16.304
Atzgersdorf,92307,48.154,16.304
Indgeb. Breitenfurter Str.,92308,48.136,16.270
Steinberg,92309,48.149,16.279
Atzgersdorf-West,92310,48.154,16.282
Zentrum Liesing,92311,48.134,16.283
Rodaun,92312,48.147,16.241
Mauerberg,92313,48.147,16.269
Mauer,92314,48.149,16.265
Kroißberg,92315,48.149,16.292
Kalksburg-Kaltenleutgeben,92316,48.134,16.278
Blumental,92317,48.139,16.365
Draschegründe,92318,48.150,16.350
Wohnpark Alt-Erlaa,92319,48.152,16.312
